CMDLINE python tracing_client_bench_mem.py
MEM 66.203125 1732394296.7728
MEM 66.203125 1732394296.8731
MEM 66.234375 1732394296.9776
MEM 66.218750 1732394297.0801
MEM 66.234375 1732394297.1845
MEM 66.234375 1732394297.2896
MEM 66.234375 1732394297.3947
MEM 66.234375 1732394297.4998
MEM 66.234375 1732394297.6049
MEM 66.234375 1732394297.7100
MEM 66.234375 1732394297.8151
MEM 66.250000 1732394297.9202
MEM 66.250000 1732394298.0253
MEM 66.234375 1732394298.1304
MEM 66.234375 1732394298.2355
MEM 66.234375 1732394298.3406
MEM 66.234375 1732394298.4456
MEM 66.250000 1732394298.5507
MEM 66.281250 1732394298.6548
MEM 66.281250 1732394298.7599
MEM 66.281250 1732394298.8650
MEM 66.281250 1732394298.9701
MEM 66.281250 1732394299.0708
MEM 66.281250 1732394299.1727
MEM 66.281250 1732394299.2778
MEM 66.406250 1732394299.3829
MEM 66.406250 1732394299.4880
MEM 66.406250 1732394299.5931
MEM 66.406250 1732394299.6982
MEM 66.406250 1732394299.8033
MEM 66.500000 1732394299.9035
MEM 60.718750 1732394300.0059
MEM 57.953125 1732394300.1065
MEM 58.046875 1732394300.2083
MEM 58.062500 1732394300.3130
MEM 58.171875 1732394300.4159
MEM 58.406250 1732394300.5219
MEM 57.234375 1732394300.6272
MEM 57.265625 1732394300.7325
MEM 57.296875 1732394300.8359
MEM 57.515625 1732394300.9393
MEM 57.406250 1732394301.0444
MEM 57.406250 1732394301.1490
MEM 57.468750 1732394301.2507
MEM 57.421875 1732394301.3538
MEM 57.109375 1732394301.4544
MEM 56.937500 1732394301.5597
MEM 56.953125 1732394301.6646
MEM 57.093750 1732394301.7670
MEM 57.156250 1732394301.8722
MEM 57.437500 1732394301.9774
MEM 57.515625 1732394302.0811
MEM 57.640625 1732394302.1864
MEM 57.671875 1732394302.2915
MEM 57.843750 1732394302.3967
MEM 57.843750 1732394302.5011
MEM 57.921875 1732394302.6034
MEM 57.828125 1732394302.7086
MEM 57.812500 1732394302.8124
MEM 57.828125 1732394302.9176
MEM 57.750000 1732394303.0221
MEM 57.765625 1732394303.1258
MEM 57.828125 1732394303.2279
MEM 57.500000 1732394303.3292
MEM 57.343750 1732394303.4296
MEM 57.609375 1732394303.5312
MEM 57.109375 1732394303.6343
MEM 57.140625 1732394303.7355
MEM 57.125000 1732394303.8406
MEM 57.187500 1732394303.9448
MEM 57.125000 1732394304.0484
MEM 56.984375 1732394304.1536
MEM 56.984375 1732394304.2586
MEM 56.984375 1732394304.3630
MEM 57.140625 1732394304.4639
MEM 56.781250 1732394304.5673
MEM 56.750000 1732394304.6721
MEM 56.921875 1732394304.7754
MEM 56.796875 1732394304.8785
MEM 56.921875 1732394304.9791
MEM 56.796875 1732394305.0800
MEM 56.859375 1732394305.1816
MEM 56.812500 1732394305.2821
MEM 56.015625 1732394305.3853
MEM 56.046875 1732394305.4902
MEM 55.859375 1732394305.5937
MEM 55.609375 1732394305.6940
MEM 55.953125 1732394305.7952
MEM 56.000000 1732394305.9004
MEM 56.062500 1732394306.0020
MEM 56.390625 1732394306.1029
MEM 56.437500 1732394306.2070
MEM 56.484375 1732394306.3082
MEM 56.546875 1732394306.4104
MEM 56.546875 1732394306.5154
MEM 56.546875 1732394306.6205
MEM 56.609375 1732394306.7256
MEM 56.531250 1732394306.8259
MEM 56.531250 1732394306.9311
MEM 56.656250 1732394307.0364
MEM 56.656250 1732394307.1415
MEM 56.734375 1732394307.2433
MEM 56.734375 1732394307.3484
MEM 56.734375 1732394307.4505
MEM 56.734375 1732394307.5556
MEM 56.734375 1732394307.6608
MEM 56.734375 1732394307.7609
MEM 56.734375 1732394307.8661
MEM 56.734375 1732394307.9712
MEM 56.687500 1732394308.0763
MEM 56.687500 1732394308.1815
MEM 56.656250 1732394308.2842
MEM 56.718750 1732394308.3894
MEM 56.859375 1732394308.4945
MEM 56.859375 1732394308.5995
MEM 56.859375 1732394308.7047
MEM 56.921875 1732394308.8094
MEM 56.921875 1732394308.9145
MEM 56.921875 1732394309.0196
MEM 56.921875 1732394309.1247
MEM 56.953125 1732394309.2298
MEM 56.953125 1732394309.3349
MEM 56.953125 1732394309.4401
MEM 56.953125 1732394309.5452
MEM 56.953125 1732394309.6503
MEM 56.953125 1732394309.7555
MEM 56.953125 1732394309.8606
MEM 56.953125 1732394309.9657
MEM 56.953125 1732394310.0708
MEM 56.953125 1732394310.1759
MEM 56.953125 1732394310.2810
